Location Name,Latitude,Longitude
Adelaide - Adelaide Oval,-34.91544,138.59552
Adelaide - Rundle Mall,-34.922836,138.602005
Adelaide - Semaphore Road,-34.83847,138.479919
Alexandria - The Grounds of Alexandria,-33.91069,151.194077
Alhambra - Almansor Park,34.088402,-118.112633
Anaheim - Anaheim Packing District,33.831512,-117.912224
Anaheim - Center St,33.835819,-117.913124
Anaheim - Convention Center,33.799431,-117.921448
Anaheim - Disneyland,33.812199,-117.919014
Anaheim - Knott;s Berry Farm,33.844292,-118.000282
Anaheim - Stoddard Park,33.799973,-117.934158
Bay St Louis - Silver Slipper Casino,30.239552,-89.425575
Bemidji - Paul Bunyan & Babe the Blue Ox Statues,47.470402,-94.878937
Berkeley - Sather Tower,37.872055,-122.257835
Biloxi - Belgicans Fries,30.392225,-88.98983
Biloxi - Lighthouse Park,30.395067,-88.902512
Biloxi - Ohr-O'Keefe Museum of Art,30.393223,-88.872307
Biloxi - St. Martin Community Center,30.44376,-88.858704
Bloomington - Mall of America,44.85487,-93.241882
Brisbane - South Bank,-27.48168,153.021988
Brooklyn - Brooklyn Borough Hall,40.692734,-73.990303
Brooklyn - Grand Army Plaza,40.673817,-73.969955
Brooklyn - WNYC Transmitter Park,40.729897,-73.960785
Budderoo - Budderoo National Park,-34.663479,150.649033
Burbank - Neal Adams Crusty Bunkers Comics and Toys,34.164551,-118.356621
Canberra - Lake Burley Griffin,-35.297085,149.107468
Canberra - Questacon - National Science and Technology Centre,-35.298553,149.131332
Carlsbad - LEGOLAND California Hotel,33.125889,-117.310501
Chaska - Minnesota Landscape Arboretum,44.859634,-93.617851
Chicago - Chicago Shakespeare Theater,41.891556,-87.605812
Chicago - Field Museum,41.866264,-87.617455
Chicago - Millennium Park,41.882698,-87.62336
Chicago - Miller Lite Beer Garden,41.891266,-87.600761
Chicago - Navy Pier,41.891701,-87.604332
Chicago - Wrigley Field,41.948238,-87.655701
Clearwater - Clearwater Beach,27.976824,-82.830078
Cleveland - Case Western Reserve University,41.504284,-81.608528
Cleveland - Lake View Cemetery,41.513767,-81.598412
Cleveland - Perk Plaza,41.502441,-81.68605
Cleveland - Playhouse Square,41.501274,-81.680847
Cleveland - Rock And Roll Hall Of Fame,41.508511,-81.69532
Cleveland - Wade Oval,41.510803,-81.611626
Cologne - Aachener Weiher,50.935253,6.927852
